AreaName,Females_Total,LastResidence,Males_Total,Persons_Business,Persons_Education,Persons_Marriage,Persons_MoveAfterBirth,Persons_MoveWithHH,Persons_Other,Persons_Total,Persons_Work,Males_Business,Males_Education,Males_Marriage,Males_MoveAfterBirth,Males_MoveWithHH,Males_Other,Males_Work,Females_Business,Females_Education,Females_Marriage,Females_MoveAfterBirth,Females_MoveWithHH,Females_Other,Females_Work
HARYANA,37638,Chandigarh,34252,773,361,11972,6245,29965,13011,71890,9563,617,204,233,3600,13559,8005,8034,156,157,11739,2645,16406,5006,1529
HARYANA,42777,Uttarakhand,34402,454,766,19406,1796,25975,7827,77179,20955,291,429,369,1061,8965,4172,19115,163,337,19037,735,17010,3655,1840
HARYANA,308991,NCT of Delhi,159307,4572,3475,175736,12781,153989,55718,468298,62027,3272,1942,3377,7416,63429,28235,51636,1300,1533,172359,5365,90560,27483,10391
HARYANA,484513,Rajasthan,126647,2023,2147,388374,17699,88197,47824,611160,64896,1305,1324,6025,10790,36091,18314,52798,718,823,382349,6909,52106,29510,12098
HARYANA,627065,Uttar Pradesh,486470,5848,6538,327781,20580,346286,104941,1113535,301561,3876,4119,6430,12273,136005,55784,267983,1972,2419,321351,8307,210281,49157,33578
HARYANA,164660,Bihar,226277,1594,2100,37270,7774,148414,36442,390937,157343,1016,1650,932,4412,57336,21851,139080,578,450,36338,3362,91078,14591,18263
HARYANA,157,Sikkim,168,4,9,36,6,126,39,325,105,2,5,1,5,45,26,84,2,4,35,1,81,13,21
HARYANA,169,Arunachal Pradesh,218,4,12,42,13,193,46,387,77,4,8,1,11,90,32,72,0,4,41,2,103,14,5
HARYANA,252,Nagaland,235,6,34,43,20,202,101,487,81,6,20,0,10,76,62,61,0,14,43,10,126,39,20
HARYANA,301,Manipur,300,3,39,67,13,221,72,601,186,1,29,0,8,86,40,136,2,10,67,5,135,32,50
HARYANA,67,Mizoram,48,1,17,9,4,51,15,115,18,1,9,0,2,17,12,7,0,8,9,2,34,3,11
HARYANA,969,Tripura,235,3,27,804,6,145,92,1204,127,1,22,18,4,38,55,97,2,5,786,2,107,37,30
HARYANA,240,Meghalaya,241,7,17,51,12,241,55,481,98,4,13,1,6,95,35,87,3,4,50,6,146,20,11
HARYANA,8817,Assam,5271,108,117,4881,192,4268,1250,14088,3272,76,75,90,128,1632,659,2611,32,42,4791,64,2636,591,661
HARYANA,39518,West Bengal,36375,415,309,13429,1140,25524,6123,75893,28953,292,193,239,646,9151,3229,22625,123,116,13190,494,16373,2894,6328
HARYANA,9986,Jharkhand,10867,131,221,3550,412,6402,1947,20853,8190,86,151,79,221,2198,1102,7030,45,70,3471,191,4204,845,1160
HARYANA,7932,Odisha,8348,126,143,2965,326,5069,1475,16280,6176,76,93,48,188,1551,788,5604,50,50,2917,138,3518,687,572
HARYANA,5961,Chhattisgarh,5852,45,70,1272,126,3841,976,11813,5483,23,49,28,63,1541,541,3607,22,21,1244,63,2300,435,1876
HARYANA,28011,Madhya Pradesh,28229,294,312,7455,1022,22793,5611,56240,18753,206,198,185,593,8977,3198,14872,88,114,7270,429,13816,2413,3881
HARYANA,5920,Gujarat,5330,111,119,1696,320,5070,1377,11250,2557,75,77,39,190,1901,803,2245,36,42,1657,130,3169,574,312
HARYANA,12,Daman & Diu,20,0,0,2,1,13,2,32,14,0,0,0,0,4,2,14,0,0,2,1,9,0,0
HARYANA,12,Dadra & Nagar Haveli,8,0,0,4,0,8,3,20,5,0,0,0,0,2,2,4,0,0,4,0,6,1,1
HARYANA,17101,Maharashtra,13806,286,291,5559,910,13309,3459,30907,7093,199,186,103,518,4848,2010,5942,87,105,5456,392,8461,1449,1151
HARYANA,5882,Andhra Pradesh,4504,56,249,1842,262,4589,964,10386,2424,31,179,37,144,1540,538,2035,25,70,1805,118,3049,426,389
HARYANA,4147,Karnataka,3937,65,84,734,195,3779,758,8084,2469,41,60,15,110,1284,417,2010,24,24,719,85,2495,341,459
HARYANA,288,Goa,283,2,11,49,14,284,79,571,132,1,6,2,9,116,46,103,1,5,47,5,168,33,29
HARYANA,100,Lakshadweep,130,1,1,8,8,35,170,230,7,1,1,0,3,17,103,5,0,0,8,5,18,67,2
HARYANA,4413,Kerala,3889,50,86,1039,408,2953,926,8302,2840,33,47,28,241,897,469,2174,17,39,1011,167,2056,457,666
HARYANA,3883,Tamil Nadu,3841,56,76,662,212,3483,806,7724,2429,38,44,25,117,1095,475,2047,18,32,637,95,2388,331,382
HARYANA,148,Puducherry,85,0,17,87,11,43,39,233,36,0,11,1,6,18,22,27,0,6,86,5,25,17,9
HARYANA,110,Andaman & Nicobar Islands,89,3,2,20,1,109,34,199,30,0,0,1,0,38,23,27,3,2,19,1,71,11,3
HARYANA,12320,Other Countries,8488,118,155,6598,1095,4989,5495,20808,2358,79,101,157,642,2156,3408,1945,39,54,6441,453,2833,2087,413
NCT OF DELHI,19837,Jammu & Kashmir,20309,716,1190,5699,955,15368,7287,40146,8931,634,765,77,570,5680,4454,8129,82,425,5622,385,9688,2833,802
NCT OF DELHI,38015,Himachal Pradesh,41257,508,1550,15615,2397,26448,9054,79272,23700,403,1153,164,1476,9765,5903,22393,105,397,15451,921,16683,3151,1307
NCT OF DELHI,131560,Punjab,116406,4461,2626,63440,8424,85716,31054,247966,52245,3934,1727,875,5393,36863,19306,48308,527,899,62565,3031,48853,11748,3937
NCT OF DELHI,4704,Chandigarh,3624,99,171,1985,430,3021,993,8328,1629,75,99,27,258,1217,549,1399,24,72,1958,172,1804,444,230
NCT OF DELHI,140208,Uttarakhand,154496,1232,5407,52952,5982,102795,33462,294704,92874,931,4123,558,3705,33900,22827,88452,301,1284,52394,2277,68895,10635,4422
NCT OF DELHI,395694,Haryana,270637,9259,7056,237224,13586,202720,63953,666331,132533,8370,5094,2437,8850,85239,37547,123100,889,1962,234787,4736,117481,26406,9433
NCT OF DELHI,155173,Rajasthan,160065,3840,3920,63793,8820,112562,35823,315238,86480,3346,2915,852,5456,43379,23725,80392,494,1005,62941,3364,69183,12098,6088
NCT OF DELHI,1338274,Uttar Pradesh,1516023,16814,32240,541403,61303,1006467,293677,2854297,902393,13717,24804,7318,37299,369311,203589,859985,3097,7436,534085,24004,637156,90088,42408
NCT OF DELHI,443393,Bihar,663236,4191,24583,123333,25500,404065,118547,1106629,406410,3352,20977,1659,14685,143597,89073,389893,839,3606,121674,10815,260468,29474,16517
NCT OF DELHI,487,Sikkim,508,10,72,112,21,340,116,995,324,10,39,7,12,115,77,248,0,33,105,9,225,39,76
NCT OF DELHI,651,Arunachal Pradesh,753,5,180,91,19,554,186,1404,369,4,96,1,10,207,119,316,1,84,90,9,347,67,53
NCT OF DELHI,894,Nagaland,1027,28,259,151,31,615,244,1921,593,25,125,1,16,257,148,455,3,134,150,15,358,96,138
NCT OF DELHI,3054,Manipur,3110,45,1493,351,70,1533,729,6164,1943,30,849,6,44,582,397,1202,15,644,345,26,951,332,741
NCT OF DELHI,374,Mizoram,304,10,106,48,7,250,90,678,167,5,49,2,1,78,54,115,5,57,46,6,172,36,52
NCT OF DELHI,666,Tripura,824,10,92,167,37,532,183,1490,469,6,67,2,21,183,121,424,4,25,165,16,349,62,45
NCT OF DELHI,1299,Meghalaya,1270,26,166,254,51,1107,277,2569,688,22,93,3,29,405,176,542,4,73,251,22,702,101,146
NCT OF DELHI,12800,Assam,13433,328,1523,3312,472,9686,3265,26233,7647,261,955,48,276,3467,2034,6392,67,568,3264,196,6219,1231,1255
NCT OF DELHI,88808,West Bengal,93548,1670,2630,28615,4443,62131,20830,182356,62037,1353,1685,369,2495,20196,13354,54096,317,945,28246,1948,41935,7476,7941
NCT OF DELHI,32020,Jharkhand,37176,392,3563,9256,2008,20885,7971,69196,25121,303,2751,120,1063,7065,5028,20846,89,812,9136,945,13820,2943,4275
NCT OF DELHI,18434,Odisha,22728,263,1310,5969,1186,12382,4860,41162,15192,206,1010,81,648,3747,3381,13655,57,300,5888,538,8635,1479,1537
NCT OF DELHI,6490,Chhattisgarh,6144,74,347,2010,388,4087,1591,12634,4137,48,233,24,217,1425,972,3225,26,114,1986,171,2662,619,912
NCT OF DELHI,66872,Madhya Pradesh,67995,816,1807,24352,3912,49126,14438,134867,40416,617,1255,317,2311,18137,9364,35994,199,552,24035,1601,30989,5074,4422
NCT OF DELHI,12953,Gujarat,11200,331,322,5145,1077,9235,2661,24153,5382,280,197,74,645,3655,1617,4732,51,125,5071,432,5580,1044,650
NCT OF DELHI,20,Daman & Diu,18,0,0,3,4,19,3,38,9,0,0,0,3,6,2,7,0,0,3,1,13,1,2
NCT OF DELHI,47,Dadra & Nagar Haveli,44,0,0,11,9,37,15,91,19,0,0,1,4,15,7,17,0,0,10,5,22,8,2
NCT OF DELHI,34491,Maharashtra,29201,640,1053,12391,2573,25101,8133,63692,13801,492,675,217,1492,9476,4898,11951,148,378,12174,1081,15625,3235,1850
NCT OF DELHI,12029,Andhra Pradesh,11407,157,556,3182,1070,9437,3007,23436,6027,110,378,56,605,3241,1815,5202,47,178,3126,465,6196,1192,825
NCT OF DELHI,7826,Karnataka,7560,108,431,1996,635,6100,1977,15386,4139,70,297,27,342,2070,1210,3544,38,134,1969,293,4030,767,595
NCT OF DELHI,624,Goa,569,4,17,162,40,502,177,1193,291,2,9,4,26,188,97,243,2,8,158,14,314,80,48
NCT OF DELHI,58,Lakshadweep,65,1,3,8,1,64,9,123,37,1,2,1,1,20,4,36,0,1,7,0,44,5,1
NCT OF DELHI,30746,Kerala,29551,331,1340,7587,4225,16016,7457,60297,23341,232,585,183,2236,5098,4332,16885,99,755,7404,1989,10918,3125,6456
NCT OF DELHI,22935,Tamil Nadu,22927,284,576,6850,2162,15646,5987,45862,14357,205,366,142,1171,5352,3698,11993,79,210,6708,991,10294,2289,2364
NCT OF DELHI,295,Puducherry,242,6,12,67,29,228,55,537,140,6,9,0,11,67,38,111,0,3,67,18,161,17,29
NCT OF DELHI,342,Andaman & Nicobar Islands,335,2,14,65,13,346,68,677,169,1,9,1,10,112,49,153,1,5,64,3,234,19,16
NCT OF DELHI,6616,Other Countries,6596,176,318,1698,888,5157,2101,13212,2874,141,192,41,476,2052,1222,2472,35,126,1657,412,3105,879,402
RAJASTHAN,8088,Jammu & Kashmir,11012,85,423,1201,255,4936,10606,19100,1594,67,322,24,148,1790,7186,1475,18,101,1177,107,3146,3420,119
RAJASTHAN,5387,Himachal Pradesh,5938,40,174,1351,239,3629,4087,11325,1805,29,100,27,154,1265,2685,1678,11,74,1324,85,2364,1402,127
RAJASTHAN,137375,Punjab,75933,1142,928,91801,15966,50086,21191,213308,32194,814,576,1041,10660,22822,12014,28006,328,352,90760,5306,27264,9177,4188
RAJASTHAN,1091,Chandigarh,870,12,66,396,85,833,266,1961,303,8,39,8,56,314,176,269,4,27,388,29,519,90,34
RAJASTHAN,12462,Uttarakhand,10771,120,884,4658,459,8567,2533,23233,6012,74,358,76,274,2834,1583,5572,46,526,4582,185,5733,950,440
RAJASTHAN,446005,Haryana,87958,1505,4032,373382,15583,64974,38678,533963,35809,928,2074,3450,9535,27112,15567,29292,577,1958,369932,6048,37862,23111,6517
RAJASTHAN,53818,NCT of Delhi,29316,735,1623,32742,2945,23220,10101,83134,11768,554,888,413,1783,9289,5966,10423,181,735,32329,1162,13931,4135,1345
RAJASTHAN,400400,Uttar Pradesh,185582,2866,9111,277212,8545,133713,46889,585982,107646,1891,4639,3070,5107,50443,24579,95853,975,4472,274142,3438,83270,22310,11793
RAJASTHAN,58597,Bihar,75805,857,4300,17968,2868,46660,13496,134402,48253,657,2906,269,1627,16536,8753,45057,200,1394,17699,1241,30124,4743,3196
RAJASTHAN,146,Sikkim,181,2,30,33,4,123,57,327,78,2,18,0,3,45,41,72,0,12,33,1,78,16,6
RAJASTHAN,174,Arunachal Pradesh,195,5,30,32,8,149,79,369,66,3,16,3,5,57,52,59,2,14,29,3,92,27,7
RAJASTHAN,429,Nagaland,360,13,39,184,27,250,160,789,116,13,22,1,15,104,106,99,0,17,183,12,146,54,17
RAJASTHAN,403,Manipur,350,22,65,91,14,279,172,753,110,17,29,0,9,95,111,89,5,36,91,5,184,61,21
RAJASTHAN,88,Mizoram,275,0,43,3,0,46,68,363,203,0,24,0,0,13,39,199,0,19,3,0,33,29,4
RAJASTHAN,441,Tripura,276,3,66,150,7,208,181,717,102,0,18,1,5,64,91,97,3,48,149,2,144,90,5
RAJASTHAN,387,Meghalaya,839,20,23,90,20,381,94,1226,598,18,12,1,12,137,71,588,2,11,89,8,244,23,10
RAJASTHAN,7620,Assam,5316,260,335,3909,359,4273,1855,12936,1945,221,220,51,218,1632,1219,1755,39,115,3858,141,2641,636,190
RAJASTHAN,34479,West Bengal,33216,858,621,14166,1827,20631,7230,67695,22362,716,411,196,1081,6763,4430,19619,142,210,13970,746,13868,2800,2743
RAJASTHAN,6664,Jharkhand,6519,114,715,3000,291,3773,1248,13183,4042,93,439,33,158,1375,762,3659,21,276,2967,133,2398,486,383
RAJASTHAN,6695,Odisha,6296,96,178,2790,265,4012,1645,12991,4005,62,117,38,176,1264,1097,3542,34,61,2752,89,2748,548,463
RAJASTHAN,3999,Chhattisgarh,3267,34,290,1454,196,2313,827,7266,2152,25,194,18,112,917,487,1514,9,96,1436,84,1396,340,638
RAJASTHAN,427850,Madhya Pradesh,126208,2265,3705,331713,27111,76042,54184,554058,59038,1276,2396,3398,16399,29284,25096,48359,989,1309,328315,10712,46758,29088,10679
RAJASTHAN,148271,Gujarat,52496,1194,1521,113340,15256,27469,25165,200767,16822,852,918,1202,9013,11577,14241,14693,342,603,112138,6243,15892,10924,2129
RAJASTHAN,20,Daman & Diu,52,0,2,4,4,22,23,72,17,0,1,0,4,10,23,14,0,1,4,0,12,0,3
RAJASTHAN,72,Dadra & Nagar Haveli,55,0,5,44,2,29,31,127,16,0,4,0,2,10,24,15,0,1,44,0,19,7,1
RAJASTHAN,41016,Maharashtra,32350,869,1077,22284,5042,19048,15120,73366,9926,711,752,298,2955,7553,11071,9010,158,325,21986,2087,11495,4049,916
RAJASTHAN,6648,Andhra Pradesh,5545,109,506,2504,552,4371,2447,12193,1704,81,344,32,317,1471,1783,1517,28,162,2472,235,2900,664,187
RAJASTHAN,6468,Karnataka,5229,90,335,2957,794,3557,2571,11697,1393,70,249,42,447,1327,1852,1242,20,86,2915,347,2230,719,151
RAJASTHAN,246,Goa,309,4,8,70,23,191,161,555,98,3,5,2,7,91,113,88,1,3,68,16,100,48,10
RAJASTHAN,389,Lakshadweep,572,2,2,74,18,40,807,961,18,2,2,1,10,21,521,15,0,0,73,8,19,286,3
RAJASTHAN,8911,Kerala,7217,101,303,1857,440,4342,2104,16128,6981,59,126,89,222,1440,1164,4117,42,177,1768,218,2902,940,2864
RAJASTHAN,4518,Tamil Nadu,4524,141,131,1222,545,3546,1849,9042,1608,126,89,25,304,1208,1359,1413,15,42,1197,241,2338,490,195
RAJASTHAN,77,Puducherry,37,2,5,48,9,26,11,114,13,2,3,0,4,11,9,8,0,2,48,5,15,2,5
RAJASTHAN,109,Andaman & Nicobar Islands,86,0,12,14,4,106,36,195,23,0,2,1,4,36,23,20,0,10,13,0,70,13,3
RAJASTHAN,43885,Other Countries,22487,234,487,29386,3896,8018,19417,66372,4934,152,297,323,2326,3524,11715,4150,82,190,29063,1570,4494,7702,784
UTTAR PRADESH,14960,Jammu & Kashmir,18048,299,1098,3731,703,8003,15488,33008,3686,180,868,132,400,3293,10017,3158,119,230,3599,303,4710,5471,528
UTTAR PRADESH,11382,Himachal Pradesh,9690,222,264,4958,410,5391,6084,21072,3743,139,182,85,253,2055,3669,3307,83,82,4873,157,3336,2415,436
UTTAR PRADESH,80803,Punjab,61432,2040,1052,43926,2000,45846,21556,142235,25815,1465,667,883,1245,21775,12698,22699,575,385,43043,755,24071,8858,3116
UTTAR PRADESH,3837,Chandigarh,2191,77,65,1928,175,2030,851,6028,902,47,39,36,98,795,430,746,30,26,1892,77,1235,421,156
UTTAR PRADESH,296211,Uttarakhand,97329,2836,3491,217851,3085,75458,40044,393540,50775,1353,2221,2655,1870,28685,16278,44267,1483,1270,215196,1215,46773,23766,6508
UTTAR PRADESH,184552,Haryana,46188,2223,1443,142604,1780,37169,25214,230740,20307,1332,1034,1765,1066,15051,9037,16903,891,409,140839,714,22118,16177,3404
UTTAR PRADESH,337581,NCT of Delhi,228629,7844,4635,145635,14538,219822,93802,566210,79934,4963,2808,2611,7912,93870,48452,68013,2881,1827,143024,6626,125952,45350,11921
UTTAR PRADESH,233160,Rajasthan,50896,2512,2557,182557,1891,36154,35946,284056,22439,1385,1914,2781,1127,14116,10705,18868,1127,643,179776,764,22038,25241,3571
UTTAR PRADESH,779471,Bihar,293268,7397,18253,559851,8483,192105,125825,1072739,160825,4074,14490,9205,4891,73729,50386,136493,3323,3763,550646,3592,118376,75439,24332
UTTAR PRADESH,269,Sikkim,207,10,33,110,2,176,68,476,77,2,23,5,2,74,41,60,8,10,105,0,102,27,17
UTTAR PRADESH,510,Arunachal Pradesh,421,9,63,172,20,381,159,931,127,4,30,5,14,165,83,120,5,33,167,6,216,76,7
UTTAR PRADESH,500,Nagaland,368,7,67,186,23,314,152,868,119,4,36,3,11,124,86,104,3,31,183,12,190,66,15
UTTAR PRADESH,435,Manipur,825,12,425,113,8,264,286,1260,152,4,389,4,4,84,212,128,8,36,109,4,180,74,24
UTTAR PRADESH,175,Mizoram,106,3,17,97,6,78,42,281,38,3,16,1,2,27,25,32,0,1,96,4,51,17,6
UTTAR PRADESH,369,Tripura,329,11,35,148,11,166,196,698,131,6,31,2,4,61,112,113,5,4,146,7,105,84,18
UTTAR PRADESH,609,Meghalaya,516,12,98,173,16,476,161,1125,189,8,63,2,11,172,97,163,4,35,171,5,304,64,26
UTTAR PRADESH,19116,Assam,11041,209,1259,10648,304,8657,3821,30157,5259,114,1113,163,176,3413,1831,4231,95,146,10485,128,5244,1990,1028
UTTAR PRADESH,178265,West Bengal,55777,2319,3080,131285,1756,36169,27145,234042,32288,1362,2385,1773,1044,12355,10819,26039,957,695,129512,712,23814,16326,6249
UTTAR PRADESH,73365,Jharkhand,36993,755,2894,45393,1136,22974,12102,110358,25104,464,2211,763,627,8751,5563,18614,291,683,44630,509,14223,6539,6490
UTTAR PRADESH,24300,Odisha,10969,263,544,15571,278,6827,4483,35269,7303,126,402,178,151,2310,2110,5692,137,142,15393,127,4517,2373,1611
UTTAR PRADESH,35684,Chhattisgarh,20992,256,366,17855,438,12057,6719,56676,18985,118,258,317,238,5111,3191,11759,138,108,17538,200,6946,3528,7226
UTTAR PRADESH,586859,Madhya Pradesh,81678,2929,3738,499961,3262,55421,62220,668537,41006,1241,2655,6492,1834,20851,16942,31663,1688,1083,493469,1428,34570,45278,9343
UTTAR PRADESH,16164,Gujarat,9295,292,420,9045,582,7211,4420,25459,3489,178,298,141,326,2936,2379,3037,114,122,8904,256,4275,2041,452
UTTAR PRADESH,18,Daman & Diu,16,1,1,6,0,7,7,34,12,0,1,0,0,3,3,9,1,0,6,0,4,4,3
UTTAR PRADESH,254,Dadra & Nagar Haveli,121,2,6,153,6,79,103,375,26,0,4,4,3,31,53,26,2,2,149,3,48,50,0
UTTAR PRADESH,60454,Maharashtra,27856,928,1332,38556,2258,20527,14802,88310,9907,567,1007,643,1264,8417,7460,8498,361,325,37913,994,12110,7342,1409
UTTAR PRADESH,9189,Andhra Pradesh,6871,153,836,4021,273,5209,2672,16060,2896,84,739,66,146,1874,1458,2504,69,97,3955,127,3335,1214,392
UTTAR PRADESH,5953,Karnataka,4502,98,452,2539,189,3334,1616,10455,2227,54,369,52,91,1188,896,1852,44,83,2487,98,2146,720,375
UTTAR PRADESH,547,Goa,382,5,18,243,35,322,171,929,135,2,11,4,20,149,90,106,3,7,239,15,173,81,29
UTTAR PRADESH,1279,Lakshadweep,1533,14,15,518,69,232,1889,2812,75,11,8,19,43,127,1269,56,3,7,499,26,105,620,19
UTTAR PRADESH,9714,Kerala,7392,197,668,2274,376,4804,2938,17106,5849,105,353,66,192,1619,1385,3672,92,315,2208,184,3185,1553,2177
UTTAR PRADESH,4960,Tamil Nadu,4498,112,243,1577,165,3478,1522,9458,2361,76,196,47,87,1211,883,1998,36,47,1530,78,2267,639,363
UTTAR PRADESH,115,Puducherry,91,3,10,50,9,65,32,206,37,1,9,1,3,28,18,31,2,1,49,6,37,14,6
UTTAR PRADESH,242,Andaman & Nicobar Islands,181,1,6,100,10,167,78,423,61,1,5,3,6,72,41,53,0,1,97,4,95,37,8
UTTAR PRADESH,103491,Other Countries,38685,779,922,77060,2627,14840,38471,142176,7477,416,563,1471,1600,7171,21402,6062,363,359,75589,1027,7669,17069,1415
BIHAR,6831,Jammu & Kashmir,8763,18,64,2363,229,753,11809,15594,358,12,34,107,150,377,7798,285,6,30,2256,79,376,4011,73
BIHAR,4127,Himachal Pradesh,4756,13,34,1731,158,439,6298,8883,210,7,19,62,97,222,4173,176,6,15,1669,61,217,2125,34
BIHAR,3665,Punjab,4329,77,95,2493,235,1122,2556,7994,1416,64,56,50,139,553,2111,1356,13,39,2443,96,569,445,60
BIHAR,205,Chandigarh,199,1,3,131,20,63,130,404,56,1,2,1,10,33,99,53,0,1,130,10,30,31,3
BIHAR,719,Uttarakhand,425,6,13,441,24,228,251,1144,181,4,8,6,12,82,161,152,2,5,435,12,146,90,29
BIHAR,1675,Haryana,2227,75,38,985,102,805,1235,3902,662,71,33,27,56,388,1020,632,4,5,958,46,417,215,30
BIHAR,11949,NCT of Delhi,11463,147,246,8069,1001,3387,6987,23412,3575,112,177,191,556,1749,5288,3390,35,69,7878,445,1638,1699,185
BIHAR,4770,Rajasthan,3588,540,81,3128,202,1765,1415,8358,1227,491,58,66,144,808,895,1126,49,23,3062,58,957,520,101
BIHAR,288274,Uttar Pradesh,31613,1481,1103,257749,2357,17608,27588,319887,12001,760,714,4395,1396,7086,7644,9618,721,389,253354,961,10522,19944,2383
BIHAR,260,Sikkim,108,2,1,196,10,62,61,368,36,1,0,5,8,37,31,26,1,1,191,2,25,30,10
BIHAR,234,Arunachal Pradesh,161,1,16,139,10,98,72,395,59,1,8,5,4,41,49,53,0,8,134,6,57,23,6
BIHAR,554,Nagaland,243,4,3,431,15,105,180,797,59,4,2,6,8,52,119,52,0,1,425,7,53,61,7
BIHAR,212,Manipur,114,3,5,132,7,82,50,326,47,2,4,4,4,36,30,34,1,1,128,3,46,20,13
BIHAR,24,Mizoram,21,0,1,9,1,9,12,45,13,0,1,0,1,6,6,7,0,0,9,0,3,6,6
BIHAR,106,Tripura,79,0,10,72,2,34,48,185,19,0,8,3,2,12,40,14,0,2,69,0,22,8,5
BIHAR,214,Meghalaya,156,1,6,139,11,94,81,370,38,0,3,3,6,49,60,35,1,3,136,5,45,21,3
BIHAR,12299,Assam,2922,82,70,10104,198,1711,1868,15221,1188,55,43,147,118,774,891,894,27,27,9957,80,937,977,294
BIHAR,196275,West Bengal,31534,934,731,171141,2802,17036,22231,227809,12934,506,402,3240,1695,7436,8136,10119,428,329,167901,1107,9600,14095,2815
BIHAR,387878,Jharkhand,45818,1579,2244,336030,4344,27444,44470,433696,17585,623,1273,6555,2534,11091,11405,12337,956,971,329475,1810,16353,33065,5248
BIHAR,4569,Odisha,1445,45,100,3446,94,888,821,6014,620,22,64,62,44,345,399,509,23,36,3384,50,543,422,111
BIHAR,2062,Chhattisgarh,593,18,27,1548,64,356,441,2655,201,9,19,19,39,149,205,153,9,8,1529,25,207,236,48
BIHAR,4633,Madhya Pradesh,1434,48,72,3540,135,818,972,6067,482,27,51,57,80,305,499,415,21,21,3483,55,513,473,67
BIHAR,1887,Gujarat,2262,65,27,1187,154,724,1246,4149,746,57,14,29,90,369,980,723,8,13,1158,64,355,266,23
BIHAR,8,Daman & Diu,15,0,1,0,0,4,14,23,4,0,1,0,0,2,8,4,0,0,0,0,2,6,0
BIHAR,571,Dadra & Nagar Haveli,83,1,1,518,6,38,72,654,18,1,0,13,5,17,35,12,0,1,505,1,21,37,6
BIHAR,7821,Maharashtra,5723,138,126,5811,381,1717,3450,13544,1921,96,94,155,205,856,2530,1787,42,32,5656,176,861,920,134
BIHAR,1044,Andhra Pradesh,716,8,62,620,68,346,371,1760,285,6,43,10,33,151,217,256,2,19,610,35,195,154,29
BIHAR,1118,Karnataka,805,7,78,732,48,325,452,1923,281,6,63,13,25,149,306,243,1,15,719,23,176,146,38
BIHAR,135,Goa,78,1,3,93,2,36,65,213,13,1,3,0,0,19,44,11,0,0,93,2,17,21,2
BIHAR,1831,Lakshadweep,1418,6,14,1039,68,220,1835,3249,67,2,8,30,42,115,1166,55,4,6,1009,26,105,669,12
BIHAR,905,Kerala,527,21,42,255,20,270,337,1432,487,13,19,3,13,94,150,235,8,23,252,7,176,187,252
BIHAR,653,Tamil Nadu,640,7,45,282,24,278,315,1293,342,4,33,10,17,129,203,244,3,12,272,7,149,112,98
BIHAR,103,Puducherry,47,1,1,86,3,13,32,150,14,1,1,1,3,8,21,12,0,0,85,0,5,11,2
BIHAR,15,Andaman & Nicobar Islands,23,0,0,8,2,6,12,38,10,0,0,0,1,2,10,10,0,0,8,1,4,2,0
BIHAR,92701,Other Countries,23287,403,632,76392,1889,6497,26510,115988,3665,208,375,1562,1176,3112,13933,2921,195,257,74830,713,3385,12577,744
SIKKIM,199,Jammu & Kashmir,775,15,7,10,2,193,592,974,155,14,5,0,1,69,536,150,1,2,10,1,124,56,5
SIKKIM,166,Himachal Pradesh,265,4,4,24,1,122,82,431,194,3,2,0,0,32,38,190,1,2,24,1,90,44,4
SIKKIM,68,Punjab,251,7,5,18,0,51,103,319,135,6,3,0,0,23,88,131,1,2,18,0,28,15,4
SIKKIM,15,Chandigarh,21,0,0,2,0,10,7,36,17,0,0,0,0,2,3,16,0,0,2,0,8,4,1
SIKKIM,132,Uttarakhand,227,4,22,40,9,85,85,359,114,3,14,0,5,34,61,110,1,8,40,4,51,24,4
SIKKIM,284,Haryana,377,100,10,159,25,121,125,661,121,97,7,2,18,39,102,112,3,3,157,7,82,23,9
SIKKIM,195,NCT of Delhi,286,9,19,54,20,111,93,481,175,9,11,2,14,45,59,146,0,8,52,6,66,34,29
SIKKIM,292,Rajasthan,383,91,6,118,17,181,148,675,114,85,5,2,10,66,104,111,6,1,116,7,115,44,3
SIKKIM,972,Uttar Pradesh,1308,213,30,442,58,495,414,2280,628,207,20,3,35,178,264,601,6,10,439,23,317,150,27
SIKKIM,5255,Bihar,8027,1602,249,2528,340,2401,2372,13282,3790,1496,181,25,184,968,1519,3654,106,68,2503,156,1433,853,136
SIKKIM,210,Arunachal Pradesh,305,4,138,45,6,127,95,515,100,2,79,2,2,50,77,93,2,59,43,4,77,18,7
SIKKIM,128,Nagaland,97,1,12,55,2,65,35,225,55,1,5,2,1,23,26,39,0,7,53,1,42,9,16
SIKKIM,378,Manipur,354,3,66,107,3,287,103,732,163,3,41,2,3,132,50,123,0,25,105,0,155,53,40
SIKKIM,28,Mizoram,25,0,16,12,0,13,4,53,8,0,8,0,0,7,3,7,0,8,12,0,6,1,1
SIKKIM,40,Tripura,52,5,27,7,1,21,13,92,18,4,18,0,1,6,6,17,1,9,7,0,15,7,1
SIKKIM,181,Meghalaya,175,4,44,72,3,100,66,356,67,4,17,3,2,39,55,55,0,27,69,1,61,11,12
SIKKIM,1136,Assam,1485,59,91,474,26,524,358,2621,1089,54,53,13,16,217,175,957,5,38,461,10,307,183,132
SIKKIM,18658,West Bengal,14500,710,712,10696,620,4499,5234,33158,10687,589,322,272,320,1838,2533,8626,121,390,10424,300,2661,2701,2061
SIKKIM,184,Jharkhand,1083,14,79,62,5,99,412,1267,596,13,66,0,5,35,387,577,1,13,62,0,64,25,19
