AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
ANDHRA PRADESH,Himachal Pradesh,1757,993,764,321,281,40,32,27,5,56,33,23,160,6,154,34,18,16,356,117,239,798,511,287
ANDHRA PRADESH,Punjab,6861,3672,3189,1576,1341,235,361,308,53,173,104,69,685,29,656,241,118,123,2248,845,1403,1577,927,650
ANDHRA PRADESH,Chandigarh,1110,530,580,253,204,49,26,23,3,32,19,13,126,1,125,38,20,18,460,163,297,175,100,75
ANDHRA PRADESH,Uttarakhand,2306,1209,1097,589,501,88,46,36,10,70,48,22,276,6,270,68,33,35,670,243,427,587,342,245
ANDHRA PRADESH,Haryana,6220,3363,2857,1314,1149,165,412,352,60,174,107,67,617,30,587,192,105,87,1968,739,1229,1543,881,662
ANDHRA PRADESH,NCT of Delhi,16907,8826,8081,4573,3818,755,608,505,103,407,248,159,1427,110,1317,589,328,261,6318,2263,4055,2985,1554,1431
ANDHRA PRADESH,Rajasthan,72554,40769,31785,12767,11628,1139,11984,10708,1276,652,443,209,9568,245,9323,4218,2407,1811,21006,8239,12767,12359,7099,5260
ANDHRA PRADESH,Uttar Pradesh,49889,29494,20395,16200,14648,1552,2126,1798,328,910,660,250,5000,246,4754,1499,820,679,14431,5500,8931,9723,5822,3901
ANDHRA PRADESH,Bihar,48120,29164,18956,17236,15707,1529,969,794,175,1487,1206,281,5049,201,4848,1751,947,804,12952,4954,7998,8676,5355,3321
ANDHRA PRADESH,Sikkim,189,85,104,42,30,12,0,0,0,37,10,27,15,0,15,3,3,0,47,13,34,45,29,16
ANDHRA PRADESH,Arunachal Pradesh,239,144,95,50,46,4,0,0,0,23,11,12,20,1,19,6,4,2,76,38,38,64,44,20
ANDHRA PRADESH,Nagaland,331,174,157,62,48,14,4,2,2,69,50,19,40,1,39,12,7,5,62,19,43,82,47,35
ANDHRA PRADESH,Manipur,1369,675,694,159,124,35,15,12,3,726,319,407,41,1,40,9,4,5,100,35,65,319,180,139
ANDHRA PRADESH,Mizoram,228,112,116,15,11,4,3,3,0,118,63,55,5,0,5,1,1,0,27,10,17,59,24,35
ANDHRA PRADESH,Tripura,349,210,139,126,115,11,5,4,1,35,21,14,20,0,20,7,1,6,73,28,45,83,41,42
ANDHRA PRADESH,Meghalaya,499,231,268,104,85,19,5,5,0,49,19,30,38,2,36,13,7,6,197,66,131,93,47,46
ANDHRA PRADESH,Assam,7155,3910,3245,2021,1800,221,118,95,23,431,261,170,856,32,824,285,163,122,2135,821,1314,1309,738,571
ANDHRA PRADESH,West Bengal,50218,26225,23993,14261,12638,1623,1666,1407,259,1252,787,465,8449,318,8131,2543,1441,1102,12930,4786,8144,9117,4848,4269
ANDHRA PRADESH,Jharkhand,13024,6975,6049,3718,3280,438,289,231,58,860,538,322,1788,61,1727,547,311,236,3592,1305,2287,2230,1249,981
ANDHRA PRADESH,Odisha,185872,76368,109504,44897,35648,9249,2169,1720,449,2526,1609,917,58142,2150,55992,11940,6683,5257,39186,15779,23407,27012,12779,14233
ANDHRA PRADESH,Chhattisgarh,28383,13229,15154,6477,4602,1875,227,173,54,553,379,174,4794,224,4570,1174,641,533,9489,4258,5231,5669,2952,2717
ANDHRA PRADESH,Madhya Pradesh,18444,9417,9027,4939,4171,768,518,423,95,425,266,159,3015,110,2905,910,527,383,5034,1897,3137,3603,2023,1580
ANDHRA PRADESH,Gujarat,23299,11689,11610,3891,3387,504,2450,2116,334,503,323,180,3071,77,2994,1157,613,544,7713,2849,4864,4514,2324,2190
ANDHRA PRADESH,Daman & Diu,51,28,23,15,12,3,0,0,0,3,3,0,4,0,4,6,2,4,16,5,11,7,6,1
ANDHRA PRADESH,Dadra & Nagar Haveli,16,7,9,3,2,1,1,1,0,3,2,1,1,0,1,0,0,0,4,1,3,4,1,3
ANDHRA PRADESH,Maharashtra,263216,91372,171844,43278,33684,9594,4824,3834,990,2292,1483,809,99538,4538,95000,10631,6170,4461,54012,21716,32296,48641,19947,28694
ANDHRA PRADESH,Karnataka,466951,121945,345006,47106,37643,9463,6474,4751,1723,3185,1945,1240,249029,10210,238819,30845,17471,13374,55835,22018,33817,74477,27907,46570
ANDHRA PRADESH,Goa,2209,1117,1092,403,353,50,19,18,1,42,21,21,186,8,178,80,51,29,1033,358,675,446,308,138
ANDHRA PRADESH,Lakshadweep,337,197,140,12,12,0,0,0,0,1,1,0,23,2,21,6,4,2,19,10,9,276,168,108
ANDHRA PRADESH,Kerala,40113,17991,22122,11348,8382,2966,1288,1045,243,3618,708,2910,5116,240,4876,1961,1061,900,9751,3271,6480,7031,3284,3747
ANDHRA PRADESH,Tamil Nadu,266720,99777,166943,41517,34522,6995,8181,6568,1613,2964,1267,1697,97915,5824,92091,21223,11883,9340,54247,21085,33162,40673,18628,22045
ANDHRA PRADESH,Puducherry,7322,2820,4502,856,714,142,85,69,16,99,55,44,2453,76,2377,1361,781,580,1247,510,737,1221,615,606
ANDHRA PRADESH,Andaman & Nicobar Islands,3049,1239,1810,271,223,48,23,15,8,93,47,46,589,20,569,184,106,78,1235,480,755,654,348,306
ANDHRA PRADESH,Other Countries,83161,38586,44575,9154,7203,1951,1258,953,305,1941,1140,801,14530,702,13828,8263,4546,3717,15042,6634,8408,32973,17408,15565
KARNATAKA,Jammu & Kashmir,9326,5558,3768,1604,1388,216,123,98,25,1412,1184,228,632,39,593,222,132,90,2439,925,1514,2894,1792,1102
KARNATAKA,Himachal Pradesh,6763,4052,2711,970,795,175,47,37,10,1272,1044,228,489,42,447,127,69,58,1234,495,739,2624,1570,1054
KARNATAKA,Punjab,11819,6188,5631,3289,2650,639,287,221,66,762,472,290,1187,49,1138,330,181,149,4112,1530,2582,1852,1085,767
KARNATAKA,Chandigarh,2124,1012,1112,508,371,137,32,21,11,132,82,50,143,3,140,51,24,27,985,350,635,273,161,112
KARNATAKA,Uttarakhand,5177,2959,2218,1884,1565,319,68,51,17,407,275,132,561,20,541,114,53,61,1236,427,809,907,568,339
KARNATAKA,Haryana,12511,6803,5708,3628,3015,613,363,303,60,860,563,297,1221,30,1191,345,188,157,4256,1616,2640,1838,1088,750
KARNATAKA,NCT of Delhi,35162,18556,16606,11125,8936,2189,804,614,190,1921,1211,710,3394,160,3234,992,537,455,11545,4138,7407,5381,2960,2421
KARNATAKA,Rajasthan,150359,86188,64171,31747,29435,2312,18347,17037,1310,2740,2104,636,23825,557,23268,8782,5048,3734,39912,16565,23347,25006,15442,9564
KARNATAKA,Uttar Pradesh,92495,57905,34590,34920,31464,3456,3183,2658,525,4620,3483,1137,8472,357,8115,2304,1235,1069,23989,9311,14678,15007,9397,5610
KARNATAKA,Bihar,86083,59632,26451,35788,33321,2467,1518,1286,232,8803,7399,1404,6891,253,6638,1849,979,870,17718,7049,10669,13516,9345,4171
KARNATAKA,Sikkim,1615,978,637,254,176,78,11,6,5,420,334,86,76,3,73,15,7,8,154,53,101,685,399,286
KARNATAKA,Arunachal Pradesh,2300,1872,428,184,149,35,13,11,2,1055,934,121,55,4,51,8,5,3,150,63,87,835,706,129
KARNATAKA,Nagaland,1325,668,657,408,276,132,20,10,10,354,207,147,114,2,112,38,17,21,214,72,142,177,84,93
KARNATAKA,Manipur,4897,2775,2122,1829,1261,568,92,57,35,1595,884,711,244,2,242,49,22,27,496,190,306,592,359,233
KARNATAKA,Mizoram,468,199,269,121,55,66,6,3,3,203,95,108,14,1,13,6,1,5,60,14,46,58,30,28
KARNATAKA,Tripura,1896,1354,542,690,609,81,35,30,5,597,501,96,137,2,135,35,20,15,217,70,147,185,122,63
KARNATAKA,Meghalaya,1959,988,971,440,296,144,19,11,8,596,295,301,71,4,67,17,11,6,424,150,274,392,221,171
KARNATAKA,Assam,23651,17163,6488,12721,11510,1211,271,215,56,2222,1566,656,1217,50,1167,238,129,109,4071,1540,2531,2911,2153,758
KARNATAKA,West Bengal,67639,42000,25639,29449,25514,3935,1716,1413,303,4081,2931,1150,6960,224,6736,1516,777,739,13881,4940,8941,10036,6201,3835
KARNATAKA,Jharkhand,21064,14087,6977,8828,7731,1097,294,230,64,3782,2885,897,1669,52,1617,367,197,170,3503,1317,2186,2621,1675,946
KARNATAKA,Odisha,64032,45015,19017,37178,33047,4131,611,458,153,1830,1272,558,4987,176,4811,960,454,506,9696,3549,6147,8770,6059,2711
KARNATAKA,Chhattisgarh,7582,4288,3294,2541,2066,475,103,75,28,748,566,182,1040,34,1006,265,139,126,1562,639,923,1323,769,554
KARNATAKA,Madhya Pradesh,22610,12509,10101,7869,6577,1292,476,338,138,1436,1011,425,2876,76,2800,740,404,336,5780,2152,3628,3433,1951,1482
KARNATAKA,Gujarat,38953,19968,18985,7972,6962,1010,2268,1983,285,2410,1680,730,6080,157,5923,1984,1124,860,11852,4522,7330,6387,3540,2847
KARNATAKA,Daman & Diu,57,28,29,12,11,1,0,0,0,7,5,2,5,0,5,4,1,3,23,9,14,6,2,4
KARNATAKA,Dadra & Nagar Haveli,110,56,54,11,10,1,4,3,1,9,5,4,7,0,7,9,6,3,20,5,15,50,27,23
KARNATAKA,Maharashtra,586864,198807,388057,55014,43657,11357,5193,3793,1400,6525,4106,2419,245773,3917,241856,93844,58827,35017,80422,32827,47595,100093,51680,48413
KARNATAKA,Andhra Pradesh,890697,358251,532446,199501,163754,35747,14077,10791,3286,13731,9203,4528,308475,12413,296062,37406,20815,16591,175672,69296,106376,141835,71979,69856
KARNATAKA,Goa,22190,9383,12807,2888,2335,553,172,124,48,831,466,365,5442,119,5323,3143,1712,1431,5006,1978,3028,4708,2649,2059
KARNATAKA,Lakshadweep,602,315,287,86,70,16,6,5,1,28,23,5,89,7,82,39,20,19,98,42,56,256,148,108
KARNATAKA,Kerala,334181,157421,176760,82697,67688,15009,7055,5877,1178,26900,10762,16138,71650,3192,68458,23565,13107,10458,68813,27837,40976,53501,28958,24543
KARNATAKA,Tamil Nadu,736821,359476,377345,204746,170226,34520,17135,13652,3483,9973,5910,4063,167569,9580,157989,37205,20439,16766,159485,64351,95134,140708,75318,65390
KARNATAKA,Puducherry,3222,1598,1624,886,737,149,43,29,14,92,62,30,552,31,521,249,135,114,771,304,467,629,300,329
KARNATAKA,Andaman & Nicobar Islands,1106,502,604,210,162,48,5,4,1,233,123,110,82,1,81,28,12,16,339,114,225,209,86,123
KARNATAKA,Other Countries,48111,22816,25295,6620,5385,1235,521,379,142,1581,960,621,8143,277,7866,5584,3240,2344,10929,4508,6421,14733,8067,6666
GOA,Jammu & Kashmir,761,478,283,161,153,8,100,89,11,8,8,0,49,3,46,35,16,19,242,96,146,166,113,53
GOA,Himachal Pradesh,403,236,167,114,105,9,12,9,3,15,10,5,34,1,33,27,13,14,105,40,65,96,58,38
GOA,Punjab,797,441,356,232,221,11,25,19,6,19,12,7,71,1,70,29,17,12,305,95,210,116,76,40
GOA,Chandigarh,100,42,58,21,14,7,3,3,0,3,2,1,10,0,10,5,3,2,42,13,29,16,7,9
GOA,Uttarakhand,658,382,276,210,198,12,22,19,3,15,13,2,56,0,56,19,8,11,220,74,146,116,70,46
GOA,Haryana,953,509,444,189,181,8,39,38,1,34,21,13,69,2,67,36,22,14,425,160,265,161,85,76
GOA,NCT of Delhi,2503,1390,1113,678,606,72,127,92,35,77,50,27,195,14,181,86,43,43,971,365,606,369,220,149
GOA,Rajasthan,4830,2914,1916,1254,1169,85,511,485,26,52,34,18,469,11,458,332,184,148,1552,605,947,660,426,234
GOA,Uttar Pradesh,20136,13719,6417,8509,8188,321,702,647,55,169,122,47,1746,68,1678,933,532,401,5004,1995,3009,3073,2167,906
GOA,Bihar,8334,5671,2663,3753,3571,182,185,166,19,123,107,16,553,17,536,371,184,187,2158,821,1337,1191,805,386
GOA,Sikkim,31,16,15,10,8,2,0,0,0,7,3,4,2,0,2,0,0,0,5,0,5,7,5,2
GOA,Arunachal Pradesh,22,13,9,5,3,2,0,0,0,8,7,1,0,0,0,0,0,0,8,2,6,1,1,0
GOA,Nagaland,91,44,47,29,13,16,1,1,0,14,10,4,6,0,6,7,5,2,15,4,11,19,11,8
GOA,Manipur,268,197,71,137,122,15,9,6,3,22,18,4,10,1,9,3,3,0,38,12,26,49,35,14
GOA,Mizoram,23,12,11,8,7,1,1,0,1,0,0,0,1,0,1,2,0,2,6,2,4,5,3,2
GOA,Tripura,33,16,17,11,10,1,0,0,0,2,0,2,2,0,2,0,0,0,9,2,7,9,4,5
GOA,Meghalaya,49,22,27,14,11,3,0,0,0,16,5,11,2,0,2,1,0,1,9,2,7,7,4,3
GOA,Assam,1502,1179,323,954,898,56,23,20,3,13,8,5,77,5,72,14,6,8,229,83,146,192,159,33
GOA,West Bengal,5342,3653,1689,2662,2522,140,149,129,20,63,43,20,431,11,420,179,99,80,1173,378,795,685,471,214
GOA,Jharkhand,3583,2633,950,2208,1997,211,24,23,1,49,24,25,148,7,141,73,46,27,636,212,424,445,324,121
GOA,Odisha,4389,3186,1203,2643,2387,256,44,37,7,42,23,19,258,9,249,114,67,47,655,213,442,633,450,183
GOA,Chhattisgarh,916,542,374,423,340,83,16,15,1,22,13,9,37,2,35,18,7,11,247,88,159,153,77,76
GOA,Madhya Pradesh,2612,1589,1023,978,899,79,52,42,10,64,40,24,216,7,209,104,55,49,857,318,539,341,228,113
GOA,Gujarat,3720,1894,1826,701,635,66,306,266,40,65,41,24,526,16,510,226,127,99,1386,506,880,510,303,207
GOA,Daman & Diu,287,152,135,60,52,8,2,2,0,2,1,1,51,4,47,34,21,13,98,44,54,40,28,12
GOA,Dadra & Nagar Haveli,27,19,8,3,3,0,0,0,0,14,14,0,4,0,4,1,1,0,5,1,4,0,0,0
GOA,Maharashtra,71943,32987,38956,13081,11301,1780,1737,1378,359,790,520,270,17627,648,16979,7249,4498,2751,19943,8257,11686,11516,6385,5131
GOA,Andhra Pradesh,5652,2806,2846,1453,1288,165,115,100,15,95,58,37,784,39,745,399,209,190,2033,684,1349,773,428,345
GOA,Karnataka,116865,57100,59765,29884,25026,4858,2616,2155,461,598,368,230,22550,739,21811,11556,6503,5053,31334,12103,19231,18327,10206,8121
GOA,Lakshadweep,20,10,10,4,3,1,0,0,0,1,1,0,0,0,0,1,1,0,8,4,4,6,1,5
GOA,Kerala,8218,4200,4018,2125,1872,253,341,299,42,135,64,71,1062,30,1032,677,402,275,2830,964,1866,1048,569,479
GOA,Tamil Nadu,4239,2218,2021,1102,981,121,196,170,26,130,74,56,456,24,432,252,128,124,1520,521,999,583,320,263
GOA,Puducherry,59,28,31,16,15,1,2,2,0,0,0,0,11,2,9,8,3,5,21,5,16,1,1,0
GOA,Andaman & Nicobar Islands,323,159,164,58,53,5,1,0,1,2,2,0,2,0,2,2,0,2,248,98,150,10,6,4
GOA,Other Countries,6767,3431,3336,573,488,85,157,105,52,73,43,30,1079,35,1044,1202,736,466,1728,847,881,1955,1177,778
LAKSHADWEEP,Jammu & Kashmir,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2
LAKSHADWEEP,Punjab,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0
LAKSHADWEEP,Chandigarh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
LAKSHADWEEP,Uttarakhand,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Haryana,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
LAKSHADWEEP,NCT of Delhi,26,19,7,16,15,1,0,0,0,1,0,1,0,0,0,0,0,0,8,3,5,1,1,0
LAKSHADWEEP,Rajasthan,8,6,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
LAKSHADWEEP,Uttar Pradesh,11,5,6,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,4,1,3,2,0,2
LAKSHADWEEP,Bihar,12,10,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
LAKSHADWEEP,Arunachal Pradesh,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
LAKSHADWEEP,Mizoram,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Tripura,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LAKSHADWEEP,Meghalaya,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LAKSHADWEEP,Assam,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LAKSHADWEEP,West Bengal,121,117,4,104,104,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,13,13,0
LAKSHADWEEP,Jharkhand,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Odisha,23,17,6,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,2,2
LAKSHADWEEP,Chhattisgarh,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Madhya Pradesh,23,18,5,18,17,1,0,0,0,0,0,0,2,0,2,0,0,0,3,1,2,0,0,0
LAKSHADWEEP,Gujarat,56,47,9,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,6,5,1
LAKSHADWEEP,Daman & Diu,87,60,27,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0,34,8,26,14,14,0
LAKSHADWEEP,Dadra & Nagar Haveli,119,94,25,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,22,17,14,3
LAKSHADWEEP,Maharashtra,563,546,17,85,85,0,3,3,0,9,9,0,3,0,3,0,0,0,18,7,11,445,442,3
LAKSHADWEEP,Andhra Pradesh,47,36,11,28,27,1,0,0,0,4,2,2,0,0,0,0,0,0,11,3,8,4,4,0
LAKSHADWEEP,Karnataka,137,86,51,28,25,3,3,3,0,21,18,3,12,1,11,10,5,5,23,6,17,40,28,12
LAKSHADWEEP,Goa,6,6,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
LAKSHADWEEP,Kerala,4379,2933,1446,1513,1469,44,20,13,7,498,273,225,128,28,100,510,261,249,743,299,444,967,590,377
LAKSHADWEEP,Tamil Nadu,380,343,37,250,246,4,0,0,0,36,33,3,0,0,0,0,0,0,23,11,12,71,53,18
LAKSHADWEEP,Puducherry,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
LAKSHADWEEP,Andaman & Nicobar Islands,39,29,10,14,14,0,0,0,0,4,4,0,1,0,1,0,0,0,16,7,9,4,4,0
LAKSHADWEEP,Other Countries,79,42,37,22,18,4,0,0,0,7,0,7,1,1,0,0,0,0,27,10,17,22,13,9
KERALA,Jammu & Kashmir,4293,2726,1567,454,426,28,133,127,6,173,163,10,123,27,96,154,100,54,938,437,501,2318,1446,872
KERALA,Himachal Pradesh,743,405,338,85,70,15,2,1,1,12,7,5,30,6,24,31,13,18,209,84,125,374,224,150
KERALA,Punjab,3402,1928,1474,488,426,62,21,19,2,77,45,32,148,28,120,229,128,101,1542,681,861,897,601,296
KERALA,Chandigarh,423,213,210,79,65,14,2,1,1,18,7,11,25,4,21,21,13,8,208,78,130,70,45,25
KERALA,Uttarakhand,790,403,387,139,122,17,5,3,2,22,15,7,40,5,35,25,16,9,397,151,246,162,91,71
KERALA,Haryana,2228,1214,1014,300,274,26,26,25,1,80,68,12,112,16,96,98,53,45,1087,428,659,525,350,175
KERALA,NCT of Delhi,15303,7645,7658,2482,1859,623,127,106,21,361,216,145,788,100,688,864,463,401,7186,2946,4240,3495,1955,1540
KERALA,Rajasthan,8893,5193,3700,2268,2039,229,319,282,37,185,134,51,520,48,472,477,267,210,3486,1433,2053,1638,990,648
KERALA,Uttar Pradesh,12203,7909,4294,4402,4092,310,151,133,18,431,331,100,534,90,444,399,223,176,4180,1680,2500,2106,1360,746
KERALA,Bihar,9904,7523,2381,4875,4676,199,58,51,7,733,669,64,361,64,297,170,96,74,2184,873,1311,1523,1094,429
KERALA,Sikkim,196,112,84,40,33,7,0,0,0,5,3,2,15,2,13,10,4,6,76,29,47,50,41,9
KERALA,Arunachal Pradesh,738,388,350,94,75,19,5,3,2,30,17,13,34,4,30,37,18,19,317,131,186,221,140,81
KERALA,Nagaland,1104,640,464,211,181,30,4,1,3,49,42,7,66,6,60,59,36,23,435,199,236,280,175,105
KERALA,Manipur,608,375,233,104,90,14,0,0,0,106,88,18,30,5,25,26,14,12,129,51,78,213,127,86
KERALA,Mizoram,156,82,74,24,22,2,0,0,0,7,3,4,12,1,11,7,4,3,73,30,43,33,22,11
KERALA,Tripura,232,150,82,57,56,1,1,1,0,11,9,2,9,1,8,15,7,8,87,42,45,52,34,18
KERALA,Meghalaya,410,221,189,78,67,11,4,3,1,12,9,3,26,3,23,20,9,11,171,74,97,99,56,43
KERALA,Assam,8469,7027,1442,5780,5539,241,15,14,1,87,73,14,210,35,175,128,75,53,1207,487,720,1042,804,238
KERALA,West Bengal,30470,26162,4308,22318,21715,603,163,147,16,175,127,48,658,109,549,288,166,122,3791,1447,2344,3077,2451,626
KERALA,Jharkhand,3109,2111,998,1339,1216,123,31,29,2,114,98,16,152,16,136,72,34,38,893,376,517,508,342,166
KERALA,Odisha,12223,9346,2877,7777,7236,541,21,19,2,155,124,31,429,67,362,160,88,72,2282,849,1433,1399,963,436
KERALA,Chhattisgarh,2563,1298,1265,497,396,101,11,9,2,55,40,15,229,19,210,96,50,46,1133,487,646,542,297,245
KERALA,Madhya Pradesh,8345,4173,4172,1339,1065,274,37,31,6,178,100,78,708,64,644,390,218,172,3868,1672,2196,1825,1023,802
KERALA,Gujarat,10443,5356,5087,1482,1262,220,152,131,21,194,117,77,976,114,862,547,308,239,4753,2003,2750,2339,1421,918
KERALA,Daman & Diu,38,24,14,12,12,0,0,0,0,1,0,1,1,0,1,1,0,1,13,5,8,10,7,3
KERALA,Dadra & Nagar Haveli,27,11,16,7,7,0,0,0,0,2,1,1,2,0,2,0,0,0,15,3,12,1,0,1
KERALA,Maharashtra,47464,24086,23378,6865,5763,1102,672,587,85,644,397,247,4470,450,4020,2570,1433,1137,22182,9366,12816,10061,6090,3971
KERALA,Andhra Pradesh,19228,9645,9583,4062,3173,889,142,119,23,902,589,313,1630,220,1410,781,389,392,7889,3045,4844,3822,2110,1712
KERALA,Karnataka,110833,48741,62092,12794,10186,2608,624,516,108,2035,1319,716,29410,3366,26044,16030,8828,7202,30326,14088,16238,19614,10438,9176
KERALA,Goa,2557,1200,1357,357,303,54,17,15,2,16,8,8,208,19,189,120,67,53,1384,524,860,455,264,191
KERALA,Lakshadweep,2026,1207,819,316,268,48,13,12,1,514,367,147,88,23,65,27,13,14,661,267,394,407,257,150
KERALA,Tamil Nadu,311347,153210,158137,72899,56576,16323,5348,4521,827,2440,1502,938,75438,14227,61211,26514,14785,11729,84247,37186,47061,44461,24413,20048
KERALA,Puducherry,21352,9539,11813,490,394,96,77,58,19,71,39,32,4309,547,3762,8561,4771,3790,4087,1854,2233,3757,1876,1881
KERALA,Andaman & Nicobar Islands,2303,1065,1238,235,191,44,8,6,2,58,31,27,173,23,150,72,41,31,1375,560,815,382,213,169
KERALA,Other Countries,30227,13983,16244,1871,1339,532,125,95,30,440,225,215,5247,480,4767,6249,3505,2744,6795,3249,3546,9500,5090,4410
TAMIL NADU,Jammu & Kashmir,7221,4077,3144,955,874,81,35,32,3,194,126,68,517,44,473,442,266,176,1641,700,941,3437,2035,1402
TAMIL NADU,Himachal Pradesh,898,550,348,146,128,18,3,1,2,165,141,24,47,3,44,23,13,10,239,101,138,275,163,112
TAMIL NADU,Punjab,6082,3263,2819,1151,987,164,58,52,6,396,295,101,446,33,413,352,202,150,2327,948,1379,1352,746,606
TAMIL NADU,Chandigarh,922,456,466,187,154,33,5,2,3,82,55,27,77,2,75,48,25,23,379,144,235,144,74,70
TAMIL NADU,Uttarakhand,1040,602,438,218,185,33,9,9,0,130,98,32,61,5,56,25,12,13,340,130,210,257,163,94
TAMIL NADU,Haryana,5172,3008,2164,1002,907,95,78,70,8,564,464,100,381,6,375,186,105,81,1674,665,1009,1287,791,496
TAMIL NADU,NCT of Delhi,12139,6263,5876,2909,2373,536,68,50,18,621,382,239,899,76,823,396,222,174,4926,1928,2998,2320,1232,1088
TAMIL NADU,Rajasthan,88474,49562,38912,16683,15538,1145,5793,5296,497,1696,1370,326,11548,324,11224,6149,3518,2631,21441,9372,12069,25164,14144,11020
TAMIL NADU,Uttar Pradesh,27985,17031,10954,7911,7236,675,480,429,51,2672,2030,642,2103,90,2013,969,553,416,8067,3168,4899,5783,3525,2258
TAMIL NADU,Bihar,29277,19468,9809,10905,10108,797,279,236,43,2756,2194,562,2022,96,1926,911,501,410,6995,2975,4020,5409,3358,2051
TAMIL NADU,Sikkim,231,140,91,40,29,11,0,0,0,79,57,22,12,0,12,8,4,4,51,24,27,41,26,15
TAMIL NADU,Arunachal Pradesh,481,269,212,74,63,11,0,0,0,211,110,101,19,3,16,14,8,6,76,28,48,87,57,30
TAMIL NADU,Nagaland,558,292,266,116,96,20,7,5,2,100,53,47,52,5,47,28,14,14,150,57,93,105,62,43
TAMIL NADU,Manipur,1595,871,724,243,185,58,12,5,7,469,240,229,108,12,96,28,16,12,283,126,157,452,287,165
TAMIL NADU,Mizoram,207,124,83,25,17,8,0,0,0,101,69,32,6,1,5,0,0,0,37,16,21,38,21,17
TAMIL NADU,Tripura,374,237,137,84,72,12,0,0,0,141,100,41,20,2,18,7,4,3,44,13,31,78,46,32
TAMIL NADU,Meghalaya,567,292,275,90,74,16,3,2,1,224,119,105,19,1,18,9,6,3,173,63,110,49,27,22
TAMIL NADU,Assam,7860,5143,2717,3198,2870,328,51,40,11,668,456,212,369,20,349,190,103,87,1962,776,1186,1422,878,544
TAMIL NADU,West Bengal,28829,17090,11739,9454,8255,1199,412,349,63,1401,950,451,2681,111,2570,925,516,409,7079,2774,4305,6877,4135,2742
TAMIL NADU,Jharkhand,7581,4789,2792,2336,1988,348,44,38,6,1176,856,320,438,12,426,202,108,94,1802,768,1034,1583,1019,564
TAMIL NADU,Odisha,22863,15206,7657,11580,9953,1627,101,73,28,834,627,207,1585,100,1485,494,260,234,3962,1477,2485,4307,2716,1591
TAMIL NADU,Chhattisgarh,2174,1124,1050,486,388,98,15,13,2,321,223,98,226,4,222,126,65,61,596,217,379,404,214,190
TAMIL NADU,Madhya Pradesh,10917,5745,5172,2208,1882,326,105,83,22,1012,727,285,1213,41,1172,534,293,241,3535,1490,2045,2310,1229,1081
TAMIL NADU,Gujarat,21024,10588,10436,3685,3163,522,655,563,92,780,553,227,2789,116,2673,1330,778,552,6472,2658,3814,5313,2757,2556
TAMIL NADU,Daman & Diu,38,20,18,12,11,1,1,1,0,2,2,0,6,1,5,2,0,2,11,3,8,4,2,2
TAMIL NADU,Dadra & Nagar Haveli,318,135,183,22,14,8,1,1,0,9,5,4,30,0,30,35,22,13,86,35,51,135,58,77
TAMIL NADU,Maharashtra,82197,39981,42216,14884,12624,2260,1012,833,179,2461,1630,831,12248,827,11421,6036,3339,2697,28105,11942,16163,17451,8786,8665
